"Category","1.A.1 Energy Industries"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Norway","27.63","27.63","29.26","30.97","31.90","34.15","34.95","39.41","42.01","43.02","39.88","42.82","44.77","45.28","46.38","47.34","50.53","50.75","49.95","49.94","49.19","49.35","50.60","49.27"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","73.45","73.45","76.86","88.34","79.69","77.00","86.35","69.25","67.48","71.73","75.49","64.09","62.40","71.32","56.12","55.79","63.56","51.87","48.97","39.12","34.63","22.25","25.03","27.33"
"Romania","232.97","207.04","194.84","177.69","173.94","175.57","181.29","187.60","166.74","138.73","118.16","125.24","131.91","126.84","134.75","122.84","113.26","109.97","97.49","96.95","73.08","64.91","66.60","61.73"
"Russian Federation","3,366.93","3,366.93","3,154.53","3,065.23","2,985.68","2,728.37","2,583.36","2,585.72","2,426.71","2,434.56","2,397.80","2,438.46","2,428.67","2,455.64","2,491.36","2,644.98","2,456.74","2,553.40","2,517.62","2,573.58","2,389.29","2,489.88","2,521.04","2,585.86"
"Slovakia","147.12","147.12","137.13","129.49","124.67","112.94","118.98","80.58","74.31","78.07","69.21","27.66","24.60","20.26","19.37","17.63","16.96","14.45","13.02","12.41","12.12","11.60","12.04","10.97"
"Slovenia","19.72","18.26","14.85","14.97","15.55","15.40","13.86","13.90","15.74","16.12","12.98","14.20","14.95","16.55","14.81","12.75","12.64","12.85","11.71","11.96","10.71","11.04","10.93","10.24"
"Spain","258.96","258.96","267.39","280.55","275.29","287.04","303.16","264.80","312.29","286.90","322.42","340.43","309.74","353.19","328.84","353.28","356.43","338.07","349.76","240.30","198.89","145.33","197.58","210.54"
"Sweden","17.01","17.01","19.41","18.73","17.53","17.85","14.82","19.34","14.32","14.83","13.50","11.40","12.53","13.50","14.91","14.07","14.41","14.45","14.14","14.69","16.17","19.08","15.78","15.69"
"Switzerland","6.87","6.87","6.84","6.55","5.49","5.11","4.77","4.71","4.26","4.40","3.97","3.57","3.33","3.00","2.59","2.92","3.09","3.27","3.12","3.43","3.39","3.47","3.44","3.66"
"Turkey","99.33","99.33","107.47","122.81","118.87","138.50","138.56","152.24","170.40","187.33","201.79","221.96","230.09","212.56","213.22","219.59","182.44","212.30","217.99","325.24","467.37","331.35","278.95","330.85"
"Ukraine","778.34","778.34","","","","","","","","455.79","468.20","444.71","472.77","483.23","499.87","456.95","476.85","536.81","542.94","544.65","491.22","523.48","640.72","668.35"
"United Kingdom of Great Britain and Northern Ireland","867.79","867.79","769.97","757.11","668.15","623.31","590.57","548.16","469.49","471.16","427.82","457.04","477.29","511.22","503.68","490.06","500.41","502.48","469.13","385.68","356.12","335.69","318.29","366.92"
"United States of America","6,044.67","6,044.67","5,914.04","5,900.43","6,033.79","5,955.77","5,791.56","5,581.30","5,683.09","5,637.52","5,182.92","4,829.19","4,453.60","4,265.00","3,929.50","3,593.99","3,433.70","3,213.28","2,992.86","2,772.44","2,450.68","2,128.92","1,807.16","1,557.31"
