"Category","1.A.4 Other Sectors"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Norway","30.03","30.03","27.79","26.31","26.16","26.92","27.09","30.06","30.84","31.84","31.66","29.49","31.52","32.08","31.48","30.49","29.26","27.69","26.29","24.95","26.40","26.27","25.41","25.98"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","41.38","41.38","43.06","42.62","42.72","45.33","42.66","44.72","40.72","35.79","38.11","40.73","42.50","43.11","41.28","43.42","44.96","37.04","35.74","32.34","31.99","29.39","27.09","25.72"
"Romania","18.62","18.66","16.82","13.21","12.11","10.62","12.12","15.43","20.69","19.10","16.68","16.68","14.16","14.18","17.06","19.29","19.95","21.61","20.06","20.66","20.95","21.29","20.20","21.14"
"Russian Federation","930.24","930.24","720.83","579.99","503.36","470.95","474.22","370.77","365.52","328.59","353.30","440.38","436.83","378.90","376.00","566.74","397.17","391.83","400.93","425.10","399.16","336.28","362.56","279.39"
"Slovakia","13.33","13.33","13.08","12.24","10.58","9.46","9.02","8.84","7.78","8.36","8.20","9.41","9.86","8.41","8.48","8.61","9.84","9.27","8.59","8.96","8.90","9.04","9.20","9.34"
"Slovenia","7.84","6.27","6.72","6.07","6.22","6.44","6.18","6.76","6.81","6.88","7.06","6.72","6.52","6.36","6.36","6.19","5.97","5.77","5.30","5.81","5.54","5.57","5.34","5.17"
"Spain","130.32","130.32","135.89","139.47","141.11","143.68","144.26","146.95","149.03","153.79","158.37","159.50","161.69","162.14","159.54","160.23","158.60","157.87","152.93","150.98","149.70","150.19","145.02","141.95"
"Sweden","29.43","29.43","28.78","27.95","26.89","26.90","25.08","25.13","24.83","24.80","24.24","24.02","22.81","22.26","22.16","21.48","20.41","19.10","18.34","17.73","17.39","16.86","16.28","15.67"
"Switzerland","22.60","22.60","23.54","23.15","22.17","20.94","21.65","22.07","20.58","20.52","19.67","18.30","18.56","17.64","17.91","17.46","17.17","16.30","14.67","15.00","14.37","14.71","12.41","12.89"
"Turkey","153.28","153.28","155.31","157.18","178.84","175.48","181.95","188.93","195.74","191.00","191.87","198.73","185.05","187.99","191.53","203.67","207.44","217.07","232.57","294.61","295.19","286.55","318.72","122.94"
"Ukraine","97.21","97.21","","","","","","","","58.48","53.34","48.79","49.29","56.23","55.75","56.79","57.24","56.15","51.74","53.00","50.47","52.38","110.18","103.11"
"United Kingdom of Great Britain and Northern Ireland","215.69","215.69","225.67","218.68","218.83","210.03","200.32","210.56","197.40","191.21","185.58","174.21","169.43","154.47","147.00","137.91","130.63","119.31","109.46","107.99","99.29","103.27","88.14","87.37"
"United States of America","1,419.77","1,419.77","1,421.58","1,458.78","1,405.25","1,535.89","1,419.77","1,459.97","1,237.08","1,161.58","923.73","945.58","873.81","860.34","876.25","892.15","907.17","860.66","814.14","767.63","782.76","797.89","902.46","902.46"
