"Category","1.AA.3.C Railways"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Russian Federation","301.43","301.43","287.84","225.33","190.76","115.81","108.83","110.09","91.76","77.49","85.10","105.79","94.29","104.50","98.73","110.09","111.89","126.81","113.49","98.31","88.65","77.31","96.19","80.46"
"Slovakia","7.68","7.68","5.78","4.77","4.09","3.39","3.65","3.58","3.36","3.09","2.83","2.78","2.75","2.55","2.04","1.96","1.91","2.02","1.94","1.94","1.54","1.57","1.52","1.28"
"Slovenia","1.14","1.08","1.20","0.81","0.68","0.69","0.71","0.67","0.65","0.63","0.62","0.63","0.61","0.65","0.61","0.62","0.63","0.63","0.63","0.68","0.63","0.63","0.63","0.63"
"Spain","5.23","5.23","5.13","5.10","4.39","4.09","4.08","3.96","4.03","4.06","4.02","3.82","3.94","3.82","3.88","3.83","3.85","3.83","3.76","3.63","3.39","3.34","3.44","3.20"
"Sweden","2.08","2.08","1.85","1.76","1.68","1.60","1.56","1.43","1.38","1.46","1.57","1.59","1.49","1.43","1.42","1.40","1.36","1.44","1.38","1.41","1.32","1.27","1.25","1.25"
"Switzerland","0.60","0.60","0.61","0.63","0.65","0.66","0.68","0.69","0.69","0.70","0.71","0.71","0.69","0.68","0.66","0.64","0.63","0.61","0.60","0.59","0.58","0.56","0.53","0.50"
"Turkey","12.04","12.04","12.26","11.59","13.60","14.41","14.41","14.73","14.71","14.86","14.86","11.13","8.80","8.85","9.20","8.72","9.09","15.90","6.87","7.30","7.08","7.56","7.78","7.18"
"Ukraine","61.90","61.90","","","","","","","","19.20","19.68","20.00","21.94","11.53","13.95","13.44","12.65","13.34","11.85","11.95","7.17","7.86","7.64","5.46"
"United Kingdom of Great Britain and Northern Ireland","22.08","22.08","22.55","27.97","27.01","24.64","24.66","25.71","26.46","36.01","35.13","35.27","33.57","34.83","34.89","36.34","38.37","38.05","37.91","37.86","37.66","37.97","40.51","38.32"
"United States of America","337.81","337.81","355.48","373.73","392.79","412.67","433.43","455.13","457.25","469.34","443.94","450.66","484.67","571.24","548.12","524.99","501.86","457.68","413.50","410.82","403.47","394.94","368.32","344.24"
