"Category","1.A Fuel Combustion - Sectoral Approach"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Netherlands","544.47","544.47","521.43","506.74","487.97","463.96","452.16","431.05","405.01","391.11","393.78","375.32","362.63","351.98","345.35","329.62","317.99","303.62","283.75","274.70","250.12","248.98","232.74","222.64"
"New Zealand","96.92","96.92","98.52","107.56","109.06","113.19","116.10","121.18","128.83","123.42","130.84","138.18","145.75","148.73","157.78","152.74","161.52","160.22","158.16","159.72","149.83","148.27","150.57","155.51"
"Norway","175.57","175.57","172.10","172.82","175.53","179.62","182.25","191.71","199.78","198.93","201.21","189.17","188.15","183.89","184.25","184.14","185.46","186.79","187.73","176.11","169.56","167.93","160.68","153.69"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","238.84","238.84","249.71","268.91","260.21","260.29","270.08","257.37","256.11","263.43","271.09","266.87","266.19","272.84","249.87","255.18","260.53","239.10","233.19","207.16","195.94","180.03","169.99","161.04"
"Romania","481.81","441.01","383.00","362.32","325.60","326.65","327.36","371.77","356.14","310.15","263.88","273.56","295.26","296.57","313.05","309.91","265.25","262.29","250.68","251.68","215.10","201.94","207.29","200.32"
"Russian Federation","9,128.53","9,128.53","8,498.93","6,275.33","5,700.83","4,982.61","4,790.50","4,697.58","4,451.60","4,396.80","4,479.54","4,319.40","4,387.59","4,389.53","4,469.58","4,865.13","4,585.10","4,770.48","4,741.69","4,966.96","4,673.51","4,855.82","5,497.47","5,159.35"
"Slovakia","221.93","221.93","200.93","187.38","178.84","167.24","174.59","135.04","126.94","132.32","120.13","107.20","107.55","100.01","97.59","98.81","101.59","96.07","95.34","93.48","82.61","88.26","84.85","80.66"
"Slovenia","57.51","59.05","54.08","52.58","55.59","57.60","57.07","60.55","60.90","55.46","48.56","49.06","49.92","50.47","48.65","47.44","45.97","46.86","47.50","52.37","45.11","44.27","44.44","43.31"
"Spain","1,297.97","1,297.97","1,352.21","1,396.39","1,363.91","1,388.59","1,379.84","1,335.10","1,327.85","1,314.95","1,354.08","1,368.40","1,333.52","1,377.49","1,373.18","1,413.23","1,402.42","1,345.84","1,334.11","1,148.37","1,012.49","931.51","924.97","893.67"
"Sweden","249.82","249.82","254.82","246.01","230.85","235.37","227.35","222.40","213.40","205.75","201.61","193.45","183.40","176.14","172.72","165.60","160.96","155.66","148.67","140.70","132.84","134.01","124.67","117.46"
"Switzerland","138.73","138.73","136.40","129.67","118.63","117.44","113.65","109.65","106.16","105.51","105.32","102.81","98.88","93.17","90.75","89.00","88.29","85.26","82.12","80.54","75.14","73.03","68.48","68.63"
"Turkey","628.65","628.65","634.17","652.98","723.75","743.43","789.51","869.29","897.78","888.57","920.20","1,009.66","969.21","1,000.92","1,061.18","1,117.47","1,049.24","1,088.35","1,175.56","1,269.66","1,410.41","1,256.35","1,259.71","1,249.77"
"Ukraine","2,280.50","2,280.50","","","","","","","","1,110.94","1,055.37","1,021.06","1,062.21","1,100.85","1,133.88","1,116.85","1,138.87","1,225.86","1,255.84","1,230.30","1,080.60","1,127.59","1,157.23","1,163.81"
"United Kingdom of Great Britain and Northern Ireland","2,849.87","2,849.87","2,742.08","2,680.14","2,519.55","2,411.02","2,296.60","2,195.82","2,034.58","1,979.07","1,862.74","1,795.08","1,756.99","1,716.01","1,660.77","1,609.53","1,588.06","1,536.00","1,471.56","1,320.23","1,150.57","1,115.78","1,042.24","1,061.09"
"United States of America","20,967.30","20,967.30","20,713.75","20,747.88","20,852.65","20,834.88","20,485.82","20,317.96","20,201.24","19,899.00","18,715.92","18,365.61","17,433.70","19,352.01","18,252.64","17,153.26","16,225.25","15,272.11","14,318.97","13,264.65","12,255.49","11,416.28","11,074.53","10,342.61"
