"Category","1.AA.3.A Civil Aviation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Russian Federation","82.93","82.93","80.21","67.04","50.65","45.68","43.64","38.37","37.39","35.61","36.12","34.16","36.70","37.37","38.65","40.55","38.64","40.06","43.34","43.81","34.81","37.59","40.10","39.30"
"Slovakia","0.13","0.13","0.13","0.09","0.13","0.04","0.04","0.05","0.06","0.07","0.07","0.07","0.05","0.06","0.07","0.09","0.11","0.14","0.14","0.15","0.12","0.11","0.10","0.10"
"Slovenia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Spain","9.53","9.53","9.92","11.13","10.10","10.32","11.02","12.87","14.41","15.01","16.93","17.70","18.42","17.20","17.71","20.31","21.74","22.09","22.90","21.59","19.69","19.53","18.52","15.93"
"Sweden","2.79","2.79","2.54","2.63","2.41","2.54","2.49","2.48","2.75","2.80","2.90","2.67","2.45","2.33","2.28","2.76","2.83","2.57","2.50","2.23","1.73","1.60","1.75","1.68"
"Switzerland","0.83","0.83","0.75","0.73","0.71","0.67","0.65","0.67","0.69","0.70","0.73","0.73","0.66","0.59","0.58","0.59","0.51","0.48","0.53","0.43","0.48","0.48","0.52","0.53"
"Turkey","2.92","2.92","3.28","4.10","4.58","5.13","8.67","9.47","10.20","10.52","9.47","10.29","11.10","11.68","14.45","16.81","14.37","16.84","23.91","22.84","22.96","12.18","12.14","13.35"
"Ukraine","1.59","1.59","","","","","","","","0.26","0.24","0.23","0.25","0.29","0.38","0.44","0.43","0.51","0.59","0.64","0.45","0.44","0.56","0.61"
"United Kingdom of Great Britain and Northern Ireland","6.61","6.61","6.42","6.35","6.04","5.46","5.67","6.27","6.33","7.13","7.74","8.63","8.84","8.65","8.95","9.70","10.75","10.70","10.42","10.11","9.17","8.67","8.28","7.89"
"United States of America","24.95","24.95","26.05","27.18","28.35","29.57","30.84","32.16","35.69","40.01","40.97","39.68","39.24","46.25","44.38","42.51","40.63","37.06","33.48","33.26","32.67","31.98","29.82","27.87"
