"Category","1.A.3 Transport"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"New Zealand","42.75","42.75","43.19","46.04","49.12","54.44","59.27","59.79","60.02","60.56","63.43","70.83","70.60","74.47","77.36","77.83","81.16","80.99","82.94","81.48","81.46","81.57","84.55","83.63"
"Norway","106.48","106.48","104.27","104.96","106.15","105.87","108.34","110.65","115.40","112.63","118.28","107.13","100.64","96.15","96.43","97.27","97.22","99.62","103.21","92.08","85.52","82.84","76.01","70.66"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","89.22","89.22","93.80","100.55","99.14","98.72","100.09","101.83","102.71","110.32","110.67","115.36","116.47","114.39","111.15","112.08","108.45","107.83","105.57","95.15","93.10","90.95","84.39","77.90"
"Romania","127.03","134.60","115.77","121.39","95.10","98.86","91.46","128.07","135.04","123.28","102.97","104.34","120.16","124.85","131.46","137.95","102.19","101.31","103.30","105.23","100.08","93.73","96.77","92.00"
"Russian Federation","2,704.91","2,704.91","2,600.63","2,092.18","1,673.25","1,390.04","1,266.39","1,208.74","1,146.25","1,317.60","1,347.68","1,018.78","1,081.69","1,122.08","1,151.71","1,193.29","1,248.55","1,332.80","1,381.62","1,464.98","1,397.00","1,523.98","2,085.96","1,697.67"
"Slovakia","61.48","61.48","50.72","45.65","43.59","44.84","46.59","45.62","44.84","45.89","42.72","36.89","39.97","40.30","39.22","42.30","46.20","43.99","48.49","47.69","41.53","45.57","42.10","41.31"
"Slovenia","21.24","28.68","27.02","26.76","29.36","31.00","32.09","35.03","33.75","27.63","24.23","23.66","23.98","23.08","23.05","23.83","22.39","22.53","25.44","29.59","24.75","23.90","24.85","24.75"
"Spain","699.65","699.65","737.90","783.65","761.50","759.08","713.20","722.17","659.00","659.75","649.61","635.98","623.22","613.37","620.55","636.96","622.28","614.59","595.17","538.62","480.65","455.21","417.26","382.88"
"Sweden","158.18","158.18","158.42","152.62","140.92","143.17","140.77","134.58","131.49","125.68","126.74","124.63","114.72","108.52","105.40","101.48","98.70","93.94","89.94","83.59","76.76","74.08","69.34","63.73"
"Switzerland","86.27","86.27","83.85","79.21","70.81","70.91","67.47","64.05","64.88","64.42","65.53","65.10","61.24","57.70","55.78","54.17","53.80","51.77","50.90","49.07","45.04","42.58","41.05","40.86"
"Turkey","263.31","263.31","249.87","255.16","304.31","318.34","344.01","370.69","358.99","341.79","375.26","405.10","412.04","423.35","451.87","486.24","456.04","425.06","480.92","480.91","480.43","469.65","493.49","629.66"
"Ukraine","842.28","842.28","","","","","","","","388.69","324.08","314.32","332.65","359.10","365.31","387.76","388.88","406.59","425.33","421.36","380.15","379.84","211.38","204.33"
"United Kingdom of Great Britain and Northern Ireland","1,320.07","1,320.07","1,309.29","1,279.32","1,215.19","1,152.48","1,093.57","1,050.25","988.00","942.95","884.99","814.72","778.28","741.96","704.59","681.42","658.09","635.02","611.31","575.57","485.99","462.87","442.75","419.71"
"United States of America","10,861.80","10,861.80","10,794.74","10,727.95","10,661.72","10,597.94","10,535.78","10,475.22","10,528.22","10,384.56","10,182.85","10,198.78","9,696.06","12,429.87","11,703.24","10,976.61","10,249.98","9,694.00","9,138.02","8,480.85","7,809.17","7,307.44","7,213.74","6,731.67"
