"Category","1.AA.4.A Commercial/Institutional"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Romania","","","","1.02","0.79","0.88","1.01","1.17","2.29","1.72","1.23","1.10","2.06","1.18","2.10","2.87","3.31","5.31","4.11","2.73","2.99","3.05","2.67","2.56"
"Russian Federation","133.37","133.37","127.12","43.93","28.40","20.80","16.83","13.48","11.14","10.02","14.87","60.88","68.08","45.99","40.43","105.73","2.76","2.50","3.50","2.50","2.96","2.82","3.49","4.01"
"Slovakia","","","","","","","","","","","","1.27","1.31","1.10","0.98","0.86","0.83","0.77","0.67","0.86","0.81","0.85","0.86","0.92"
"Slovenia","1.32","1.07","1.27","1.08","1.40","1.26","1.30","1.69","1.64","1.62","1.72","1.55","1.26","1.18","1.12","1.11","0.96","0.87","0.66","0.96","0.93","0.89","0.78","0.57"
"Spain","2.81","2.81","3.38","3.51","3.14","3.50","4.34","4.26","4.57","4.81","5.85","6.27","6.75","7.19","6.72","7.45","8.44","10.68","9.48","11.50","12.92","16.24","16.92","17.90"
"Sweden","3.32","3.32","3.18","2.28","2.02","1.70","1.24","1.30","1.20","1.08","1.12","1.09","0.98","0.94","0.93","0.93","0.69","0.74","0.87","0.63","0.60","0.63","0.66","0.56"
"Switzerland","5.36","5.36","5.75","5.65","5.43","5.07","5.26","5.59","5.23","5.22","4.89","4.56","4.63","4.29","4.35","4.17","3.99","3.73","3.27","3.41","3.23","3.35","2.79","3.00"
"Turkey","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","24.11","24.11","","","","","","","","8.94","8.57","7.38","7.09","13.80","10.96","11.47","12.77","10.27","9.59","10.41","10.26","11.20","5.16","4.99"
"United Kingdom of Great Britain and Northern Ireland","38.10","38.10","40.90","40.37","39.60","38.68","37.30","39.26","36.12","34.17","34.95","30.52","30.46","25.62","26.10","27.14","26.37","24.03","22.89","23.42","21.67","22.37","22.02","21.26"
"United States of America","670.79","670.79","592.11","579.78","578.34","718.61","607.12","734.24","538.50","510.26","482.83","506.87","427.70","437.92","455.31","472.71","489.77","470.82","451.86","432.91","452.70","472.48","581.70","581.70"
