"Category","1.AA.3.B Road Transportation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"New Zealand","32.81","32.81","33.41","35.75","38.43","41.41","46.23","47.87","50.16","51.67","53.00","55.47","56.58","60.10","62.18","63.36","65.82","67.42","69.48","70.12","69.38","70.36","72.34","72.31"
"Norway","64.71","64.71","63.17","62.78","60.40","60.27","59.48","57.91","58.51","56.18","54.19","52.13","49.99","48.16","46.95","46.46","48.18","47.82","48.50","46.50","42.56","39.12","37.16","36.27"
"Poland","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","78.59","78.59","83.36","90.15","89.20","88.83","90.42","92.20","92.95","100.43","101.25","106.26","107.68","105.46","102.59","103.36","99.74","99.28","96.97","86.75","84.32","82.27","76.64","69.70"
"Romania","87.10","102.53","83.49","83.42","71.02","76.70","70.73","104.05","99.16","97.06","79.12","82.92","106.55","108.67","118.47","125.32","95.99","94.99","88.42","91.71","90.12","82.70","83.70","79.92"
"Russian Federation","1,699.73","1,699.73","1,624.63","1,560.41","1,200.38","1,014.98","915.46","867.80","846.27","997.74","1,007.65","645.98","724.04","741.06","764.41","794.21","852.91","923.43","983.92","1,075.80","1,072.54","1,181.61","1,708.90","1,332.28"
"Slovakia","50.76","50.76","42.31","38.39","37.76","39.74","41.07","39.98","39.50","39.82","37.33","32.03","35.07","35.50","34.91","37.79","41.47","39.56","43.84","43.25","37.64","40.51","37.77","37.09"
"Slovenia","20.10","27.60","25.82","25.95","28.68","30.31","31.37","34.36","33.10","27.00","23.61","23.03","23.37","22.43","22.44","23.21","21.76","21.90","24.81","28.91","24.11","23.27","24.22","24.12"
"Spain","585.29","585.29","618.22","659.98","635.80","627.02","586.17","586.38","547.16","543.25","536.08","533.37","520.03","510.43","507.20","520.83","508.70","490.23","483.05","436.03","393.06","371.24","346.45","313.94"
"Sweden","142.76","142.76","145.51","140.08","130.38","132.96","130.02","124.35","119.44","112.68","112.93","110.98","101.41","95.52","90.93","87.50","85.24","81.69","78.74","72.87","64.86","62.43","58.23","55.43"
"Switzerland","83.69","83.69","81.36","76.70","68.31","68.47","65.05","61.57","62.36","61.86","62.91","62.45","58.66","55.15","53.25","51.63","51.37","49.34","48.45","46.73","42.70","40.26","38.78","38.65"
"Turkey","238.41","238.41","223.73","227.04","273.19","286.61","306.77","332.83","320.44","302.21","338.02","371.43","376.34","386.59","410.63","436.31","406.74","363.16","418.28","419.94","417.40","415.93","425.16","576.63"
"Ukraine","448.74","448.74","","","","","","","","190.94","147.94","156.11","178.80","220.97","233.06","260.41","265.07","286.16","310.23","305.70","283.22","281.24","187.80","187.80"
"United Kingdom of Great Britain and Northern Ireland","1,243.96","1,243.96","1,233.37","1,198.45","1,135.57","1,073.06","1,011.88","966.21","903.56","846.59","788.39","720.05","686.84","648.10","611.22","585.42","558.02","537.29","514.54","481.00","395.13","373.93","351.81","333.93"
"United States of America","8,701.86","8,701.86","8,572.13","8,442.40","8,311.77","8,182.04","8,052.31","7,922.35","7,975.91","7,819.40","7,594.48","7,614.60","7,052.75","9,335.32","8,733.98","8,132.64","7,531.30","7,214.64","6,897.98","6,255.37","5,623.51","5,167.97","5,218.47","4,866.82"
