"Category","1.AA.3.D Navigation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Romania","33.55","25.10","26.28","21.76","8.30","8.01","6.44","9.30","21.20","13.60","13.54","6.95","6.28","6.46","4.30","2.62","2.61","2.55","5.31","4.46","3.46","3.74","3.25","2.73"
"Russian Federation","324.08","324.08","311.79","32.47","28.81","20.34","15.96","14.46","20.13","13.46","26.81","64.80","57.37","62.18","55.77","33.31","32.77","31.86","25.18","25.53","28.11","21.63","25.46","53.50"
"Slovakia","2.91","2.91","2.49","2.40","1.61","1.68","1.82","2.01","1.92","2.92","2.49","2.00","2.10","2.20","2.19","2.46","2.70","2.27","2.57","2.35","2.23","3.38","2.71","2.83"
"Slovenia","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","99.52","99.52","104.56","107.36","110.98","117.40","111.64","118.56","92.88","97.10","92.25","80.70","80.28","81.29","91.11","91.45","86.68","97.72","84.86","76.72","63.83","60.37","48.16","49.15"
"Sweden","7.92","7.92","5.89","5.50","3.80","3.39","3.99","3.63","5.21","6.01","6.67","6.77","6.82","6.75","8.35","7.47","6.99","6.02","5.16","4.98","6.83","6.80","6.15","3.45"
"Switzerland","1.01","1.01","1.01","1.01","1.01","1.01","1.01","1.05","1.08","1.12","1.16","1.20","1.21","1.21","1.22","1.23","1.24","1.24","1.23","1.23","1.23","1.22","1.18","1.14"
"Turkey","9.93","9.93","10.60","12.43","12.95","12.19","14.16","13.65","13.63","14.20","12.91","12.25","15.80","16.23","17.60","24.40","25.84","29.15","31.86","30.84","32.99","33.99","48.41","32.50"
"Ukraine","21.94","21.94","","","","","","","","4.50","4.52","4.56","4.74","4.74","4.78","5.17","4.98","5.56","5.84","4.54","4.50","2.11","1.28","1.36"
"United Kingdom of Great Britain and Northern Ireland","43.54","43.54","43.20","42.58","42.50","45.08","46.94","47.42","46.64","47.79","48.23","45.19","43.55","44.77","43.96","44.33","45.37","43.52","43.26","41.93","40.16","38.77","38.88","36.53"
"United States of America","402.00","402.00","418.18","434.72","451.87","469.67","488.14","507.33","483.32","468.64","428.17","505.64","543.63","640.05","614.14","588.23","562.31","512.81","463.31","460.30","452.07","442.51","412.69","385.71"
