"Category","International bunkers"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Portugal","39.31","39.31","39.10","39.39","34.03","31.65","33.12","34.50","33.93","34.81","44.00","48.44","36.46","37.71","45.25","51.91","47.17","51.09","53.71","58.41","53.28","50.57","58.38","62.21"
"Romania","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85","4.47","1.68","0.62","0.69","0.57","0.90"
"Russian Federation","142.84","142.84","99.82","95.64","100.81","102.90","121.34","128.06","133.45","130.48","151.28","163.04","180.60","215.84","247.40","315.74","369.19","391.06","440.91","311.42","367.73","424.31","471.87","524.21"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","0.43","0.35","0.12","0.15","0.21","0.24","0.25","0.23","0.25","0.23","0.27","0.31","0.35","0.36","0.35","0.26","0.28","2.71","4.31","5.73","2.94","1.80","2.92","4.34"
"Spain","278.24","278.24","294.74","299.97","273.93","253.41","260.04","364.20","440.89","475.02","465.70","482.11","534.36","545.00","558.42","580.65","636.97","664.99","681.00","698.96","690.18","668.96","692.89","677.66"
"Sweden","51.82","51.82","60.44","67.22","69.06","81.30","81.09","84.96","98.82","113.13","113.12","109.80","106.90","92.47","122.64","146.08","145.76","156.83","160.96","152.78","157.77","142.15","127.47","122.77"
"Switzerland","12.51","12.51","12.09","12.74","13.16","13.53","14.20","14.76","15.40","16.10","17.38","18.25","17.16","15.80","14.29","13.50","13.86","14.51","15.98","17.61","16.12","17.53","19.20","19.34"
"Turkey","","","","","","","","","","","","","","","","","","","","43.37","21.98","17.05","150.85","83.12"
"Ukraine","38.03","38.03","6.90","5.81","4.72","3.63","2.54","1.45","1.33","10.71","8.84","8.14","8.60","5.69","4.68","5.66","6.36","6.69","5.73","5.43","5.10","5.59","4.08","3.67"
"United Kingdom of Great Britain and Northern Ireland","267.86","267.86","264.76","275.60","279.47","263.51","277.45","302.92","328.24","347.48","292.19","284.71","282.46","246.13","270.17","302.79","325.16","375.13","385.75","421.70","401.63","357.51","390.44","349.44"
"United States of America","1,955.99","1,955.99","2,148.73","1,870.13","1,589.77","1,525.24","1,538.19","1,546.80","1,660.47","1,766.49","1,470.97","1,344.44","1,257.55","1,318.50","1,412.73","1,664.72","1,704.01","1,728.07","1,732.99","1,831.62","1,692.40","1,790.42","1,553.39","1,398.23"
