"Category","1.AA.2.F Other"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Portugal","23.31","23.31","24.34","24.46","25.93","26.45","27.64","28.48","31.24","31.66","32.40","32.05","33.02","33.59","31.27","33.74","33.52","32.15","32.50","30.84","27.14","27.78","24.45","21.87"
"Romania","49.68","39.54","24.80","36.75","32.45","20.65","16.53","17.83","14.98","14.71","13.97","13.38","13.75","15.37","12.72","14.19","11.78","13.52","13.98","13.72","9.80","10.06","11.56","12.91"
"Russian Federation","230.13","230.13","222.90","112.42","105.02","74.36","106.93","103.34","110.51","79.59","87.42","100.62","102.76","96.70","96.41","100.55","132.77","145.47","138.96","157.92","187.21","191.49","202.26","228.31"
"Slovakia","","","","","","","","","","","","10.78","11.80","9.78","9.60","9.25","8.84","8.43","8.46","8.79","7.42","7.39","8.02","6.91"
"Slovenia","4.96","3.54","3.11","2.84","2.61","2.88","3.01","3.04","2.99","3.09","2.53","2.77","2.54","2.47","2.43","2.94","3.14","4.04","3.47","3.49","2.69","2.40","2.03","1.92"
"Spain","169.35","169.35","164.63","149.56","144.39","146.85","155.40","149.03","153.28","161.69","165.47","168.61","171.63","173.23","182.32","179.31","185.22","166.21","169.90","149.18","124.71","118.99","105.09","94.88"
"Sweden","26.41","26.41","27.76","27.94","28.18","29.73","30.90","29.91","29.35","28.10","26.27","23.49","23.20","21.99","20.84","19.38","18.77","19.00","17.53","16.31","14.47","15.45","15.10","14.49"
"Switzerland","19.15","19.15","18.44","17.33","16.97","17.58","17.19","16.31","14.11","13.98","14.10","14.05","13.84","13.10","12.64","12.66","12.51","12.13","11.86","11.56","11.05","11.04","10.44","10.11"
"Turkey","73.18","73.18","82.14","78.24","81.69","71.50","82.21","112.63","127.16","127.98","107.93","137.67","97.66","133.71","160.15","162.73","155.41","185.55","178.27","126.60","120.22","135.35","123.91","127.65"
"Ukraine","255.96","255.96","","","","","","","","31.32","27.54","24.24","23.59","30.30","33.90","35.85","36.80","37.42","39.55","37.02","21.96","25.72","29.06","27.88"
"United Kingdom of Great Britain and Northern Ireland","299.42","299.42","290.52","277.32","268.31","275.21","272.84","249.69","251.99","256.42","243.23","241.00","229.26","215.61","211.04","207.09","210.98","192.00","190.69","163.97","132.52","136.49","121.21","119.51"
"United States of America","2,558.98","2,558.98","2,498.14","2,574.73","2,645.09","2,645.62","2,650.23","2,666.67","2,613.39","2,569.95","2,283.41","2,278.06","2,295.73","1,699.29","1,635.90","1,572.51","1,506.20","1,390.23","1,274.27","1,158.31","1,131.48","1,104.65","1,077.81","1,077.81"
