"Category","Aviation"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Romania","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Russian Federation","19.00","19.00","18.26","17.72","18.91","19.14","20.33","21.81","21.61","21.10","20.16","21.69","22.26","22.15","23.18","26.74","26.03","28.42","33.25","36.42","30.70","32.69","36.97","39.73"
"Slovakia","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","0.43","0.35","0.12","0.15","0.21","0.24","0.25","0.23","0.25","0.23","0.27","0.31","0.35","0.36","0.35","0.26","0.28","0.32","0.42","0.45","0.34","0.32","0.30","0.29"
"Spain","28.98","28.98","28.73","32.27","33.03","34.34","37.64","40.27","42.75","47.21","48.88","52.71","52.32","50.20","53.51","59.59","64.29","67.55","70.68","71.01","65.68","69.21","75.87","72.91"
"Sweden","5.52","5.52","4.50","3.72","5.09","5.59","6.24","6.35","6.68","7.31","8.29","8.86","8.87","7.32","7.21","8.33","9.25","9.48","10.36","9.02","7.44","7.53","8.23","7.69"
"Switzerland","11.72","11.72","11.36","12.00","12.41","12.73","13.46","14.11","14.75","15.57","16.83","17.74","16.75","15.47","13.89","13.10","13.40","14.10","15.56","17.22","15.76","17.15","18.88","19.06"
"Turkey","","","","","","","","","","","","","","","","","","","","21.96","4.82","1.82","31.13","32.60"
"Ukraine","7.99","7.99","6.90","5.81","4.72","3.63","2.54","1.45","1.33","1.28","1.24","1.23","1.19","1.31","1.57","1.91","2.12","2.55","2.90","3.22","2.85","3.10","2.34","2.04"
"United Kingdom of Great Britain and Northern Ireland","74.78","74.78","72.68","79.42","84.77","88.53","94.12","99.95","106.15","117.60","126.13","137.65","133.30","129.74","132.61","144.95","156.19","158.60","157.51","153.84","146.72","140.57","147.22","143.51"
"United States of America","153.12","153.12","184.93","186.66","187.25","193.25","199.68","203.90","214.16","212.57","226.23","249.83","227.01","219.95","222.26","226.45","242.17","242.87","247.72","226.18","212.64","245.66","261.14","260.10"
