"Category","1.AA.4.B Residential"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Portugal","4.01","4.01","3.95","3.94","3.96","3.95","3.95","4.07","3.97","4.00","4.08","4.07","3.89","3.87","3.80","3.77","3.70","3.58","3.41","3.33","3.17","3.58","3.38","3.19"
"Romania","11.03","11.39","10.89","8.27","8.22","7.59","8.55","12.07","15.79","15.07","14.13","14.40","11.31","12.22","14.32","15.75","16.01","15.46","15.07","16.98","16.69","16.98","16.14","17.00"
"Russian Federation","104.61","104.61","100.17","174.57","189.50","167.13","149.85","141.63","138.57","129.66","145.44","94.56","97.58","94.18","103.21","110.07","109.87","113.56","109.99","114.89","112.68","112.74","121.14","109.36"
"Slovakia","13.33","13.33","13.08","12.24","10.58","9.46","9.02","8.84","7.78","8.36","8.20","7.99","8.39","7.14","7.36","7.58","8.87","8.34","7.81","7.98","7.99","8.08","8.21","8.24"
"Slovenia","2.15","1.81","2.01","1.94","2.18","2.13","2.29","2.60","2.71","2.75","2.90","2.71","2.79","2.73","2.71","2.69","2.57","2.44","2.19","2.34","2.44","2.46","2.43","2.38"
"Spain","16.41","16.41","17.36","17.26","17.15","17.66","16.63","17.49","17.31","17.63","18.26","18.80","18.85","19.26","20.33","21.20","21.25","20.96","20.89","20.42","21.24","22.22","19.83","19.63"
"Sweden","10.44","10.44","10.52","10.11","9.45","9.35","8.51","8.63","8.11","7.88","7.72","7.79","7.18","6.93","7.19","6.99","6.46","5.63","5.58","5.60","5.90","5.55","5.52","5.37"
"Switzerland","11.66","11.66","12.16","11.80","10.99","10.06","10.52","10.65","9.55","9.53","9.05","8.04","8.35","7.90","8.23","8.07","8.09","7.68","6.71","7.10","6.84","7.26","5.79","6.29"
"Turkey","57.49","57.49","59.11","60.72","60.03","56.06","60.09","60.47","62.60","59.11","56.34","57.58","49.99","50.85","52.28","54.03","56.45","54.89","55.90","70.79","75.85","71.59","68.56","73.26"
"Ukraine","68.68","68.68","","","","","","","","45.52","41.27","38.61","39.57","39.62","41.96","42.38","41.54","42.72","38.85","38.95","36.82","37.87","35.47","35.17"
"United Kingdom of Great Britain and Northern Ireland","97.33","97.33","104.45","97.92","98.77","90.72","82.41","89.46","78.60","76.07","71.40","67.60","65.19","57.77","53.42","49.93","46.53","45.06","42.61","43.44","40.71","46.58","36.17","39.46"
"United States of America","748.98","748.98","829.47","878.99","826.91","817.28","812.64","725.73","698.58","651.32","440.90","438.72","446.10","422.42","420.94","419.45","417.40","389.84","362.28","334.72","330.06","325.41","320.76","320.76"
