"Category","2 Industrial Processes"," ","Measure","Net emissions/removals"," ","Classification","Total for category"," ","Gas","NOx"," ","Infosource Type","CRF Offical submission"," ","Unit","Gg"," ","Measure","Dbl Value"," "
"","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Russian Federation","24.00","24.00","21.58","19.94","17.68","15.35","17.30","16.45","16.43","16.10","18.52","20.35","21.00","22.16","22.76","23.69","24.19","25.00","25.82","25.49","24.65","25.90","26.19","26.70"
"Slovakia","4.31","4.31","3.22","2.93","2.46","3.87","4.25","0.24","0.23","0.21","0.19","0.21","0.21","0.20","0.21","0.24","0.27","0.28","0.27","0.26","0.32","0.34","0.38","0.33"
"Slovenia","","","","","","","","","","","","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Spain","12.62","12.62","9.58","8.61","7.06","7.80","8.03","7.91","8.26","8.22","8.36","8.38","8.43","8.04","8.08","7.55","7.68","7.52","7.58","7.29","6.50","7.34","7.39","6.94"
"Sweden","19.84","19.84","18.77","18.30","19.24","18.65","18.88","18.49","16.96","15.73","14.93","15.28","15.12","14.66","14.44","15.26","15.06","15.50","15.18","14.64","13.65","14.16","14.28","14.02"
"Switzerland","0.46","0.46","0.45","0.45","0.43","0.42","0.30","0.27","0.28","0.32","0.32","0.36","0.37","0.43","0.46","0.46","0.34","0.38","0.37","0.40","0.34","0.41","0.44","0.40"
"Turkey","10.94","10.94","12.63","13.12","13.35","9.44","20.63","21.10","19.73","21.89","20.99","22.88","20.96","19.69","20.38","20.40","18.30","20.57","20.44","21.47","17.07","27.07","29.43","29.63"
"Ukraine","47.69","47.69","41.96","36.62","30.54","24.81","19.88","23.03","25.30","21.22","22.89","25.87","25.37","30.10","30.62","27.58","31.91","32.28","40.87","37.41","26.18","31.99","40.09","39.70"
"United Kingdom of Great Britain and Northern Ireland","13.30","13.30","11.82","10.95","10.24","9.56","6.91","6.63","7.14","6.13","6.29","5.89","4.62","2.47","2.55","2.83","2.58","2.27","2.45","2.39","1.84","1.97","1.88","1.38"
"United States of America","591.34","591.34","548.91","560.94","562.33","593.14","607.25","596.93","628.60","637.67","595.05","625.93","656.21","534.33","545.88","557.43","566.10","547.32","528.55","509.77","487.72","465.67","444.32","444.32"
