fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
biomass,0.00246029,0.002468152,0.002457815,0.002445359,0.002393712,0.002364995,0.002426147,0.002391536,0.002387535,0.002443844,0.002426623,0.002471238,0.002498476,0.002607805,0.002721374,0.002738122,0.00266848,0.002587247,0.002405289,0.002643778,0.002657364,0.002588681,0.002592214,0.002584862,0.00257751,0.002570158,0.002562806,0.002555453,0.00253864,0.002521826,0.002505013,0.002488199,0.002471386,0.002480549,0.002489713,0.002498877,0.002508041,0.002517205,0.002490858,0.002464511,0.002438164,0.002411817,0.00238547,0.00239146,0.00239745,0.00240344,0.002409429,0.002415419,0.002420127,0.002424834,0.002429542,0.002434249,0.002438957,0.002431049,0.002423142,0.002415235,0.002407328,0.00239942,0.002398064,0.002396707,0.00239535,0.002393993,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637,0.002392637
brown_coal,0.001159881,0.001160256,0.001160155,0.001160076,0.001159995,0.001160044,0.00116013,0.001160116,0.001160174,0.00116058,0.001162423,0.001162781,0.001163435,0.001163343,0.001172392,0.001142586,0.001070278,0.000988497,0.00092211,0.001019357,0.000936789,0.000877807,0.000839194,0.000833064,0.000826933,0.000820802,0.000814671,0.00080854,0.000789785,0.000771029,0.000752274,0.000733519,0.000714763,0.000699588,0.000684412,0.000669237,0.000654061,0.000638886,0.000563342,0.000487799,0.000412256,0.000336713,0.000261169,0.000252899,0.000244628,0.000236357,0.000228086,0.000219815,0.000246292,0.00027277,0.000299247,0.000325724,0.000352201,0.000326599,0.000300998,0.000275396,0.000249794,0.000224192,0.000209048,0.000193904,0.000178761,0.000163617,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473,0.000148473
coal_coke,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.40E-06,8.35E-06,8.30E-06,8.25E-06,8.20E-06,8.16E-06,8.13E-06,8.10E-06,8.08E-06,8.05E-06,8.02E-06,8.04E-06,8.05E-06,8.07E-06,8.08E-06,8.10E-06,8.11E-06,8.12E-06,8.13E-06,8.14E-06,8.15E-06,8.14E-06,8.14E-06,8.14E-06,8.14E-06,8.14E-06,8.14E-06,8.14E-06,8.14E-06,8.15E-06,8.15E-06,8.16E-06,8.17E-06,8.19E-06,8.20E-06,8.21E-06,8.20E-06,8.19E-06,8.17E-06,8.16E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06,8.15E-06
diesel_oil,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000793903,0.000768937,0.000750745,0.000749371,0.00075306,0.000744525,0.000582836,0.000430802,0.00054468,0.000547638,0.000550597,0.000553556,0.000556515,0.000559474,0.000556374,0.000553274,0.000550175,0.000547075,0.000543975,0.000546597,0.000549219,0.000551841,0.000554463,0.000557084,0.000565533,0.000573981,0.00058243,0.000590878,0.000599326,0.00060732,0.000615314,0.000623307,0.000631301,0.000639294,0.000641254,0.000643213,0.000645173,0.000647132,0.000649091,0.000646117,0.000643142,0.000640167,0.000637192,0.000634217,0.000627413,0.00062061,0.000613806,0.000607002,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199,0.000600199
hard_coal,0.00057093,0.000549931,0.000484366,0.000437319,0.000399008,0.000333387,0.000310391,0.00030292,0.000289368,0.000292846,0.000264593,0.000239115,0.000223602,0.000243487,0.000237455,0.000264808,0.000209034,0.000207934,0.000184489,0.000239804,0.000145852,0.000146082,0.000178402,0.000171455,0.000164509,0.000157562,0.000150615,0.000143668,0.000142885,0.000142101,0.000141318,0.000140535,0.000139751,0.000138801,0.000137851,0.000136901,0.000135951,0.000135001,0.000147114,0.000159227,0.00017134,0.000183453,0.000195566,0.000197078,0.000198591,0.000200104,0.000201616,0.000203129,0.000200801,0.000198473,0.000196145,0.000193817,0.000191489,0.000194316,0.000197144,0.000199972,0.0002028,0.000205628,0.000203089,0.000200551,0.000198012,0.000195474,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936,0.000192936
heavy_oil,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.80E-05,3.32E-05,3.46E-05,3.43E-05,3.41E-05,7.76E-05,7.86E-05,8.50E-05,8.67E-05,9.34E-05,0.000108462,0.000100853,9.15E-05,9.01E-05,7.85E-05,8.44E-05,8.42E-05,8.25E-05,8.08E-05,7.91E-05,7.74E-05,7.58E-05,7.19E-05,6.81E-05,6.43E-05,6.05E-05,5.67E-05,5.56E-05,5.45E-05,5.35E-05,5.24E-05,5.14E-05,5.01E-05,4.88E-05,4.75E-05,4.62E-05,4.49E-05,4.46E-05,4.44E-05,4.41E-05,4.39E-05,4.36E-05,4.36E-05,4.36E-05,4.37E-05,4.37E-05,4.37E-05,4.37E-05,4.37E-05,4.38E-05,4.38E-05,4.38E-05,4.41E-05,4.44E-05,4.48E-05,4.51E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05,4.54E-05
light_oil,0.000566038,0.000566038,0.000502793,0.000493348,0.000487228,0.000487773,0.000488531,0.000493123,0.00049315,0.000496263,0.000497868,0.0004941,0.000494688,0.000493914,0.00049191,0.000488962,0.000489318,0.000490644,0.000492665,0.000491148,0.000457115,0.000475657,0.000302425,0.000307329,0.000312234,0.000317139,0.000322044,0.000326949,0.000320437,0.000313925,0.000307413,0.000300901,0.000294389,0.000290774,0.000287159,0.000283545,0.00027993,0.000276315,0.000269811,0.000263308,0.000256804,0.000250301,0.000243797,0.000225394,0.000206992,0.000188589,0.000170186,0.000151783,0.000162021,0.000172259,0.000182497,0.000192734,0.000202972,0.000194348,0.000185723,0.000177098,0.000168474,0.000159849,0.000145627,0.000131406,0.000117184,0.000102962,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05,8.87E-05
