Region,fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
Middle East ,diesel_oil,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002307692,0.002118644,0.002396313,0.002245141,0.001367737,0.001402277,0.001628263,0.001698797,0.00176933,0.001839864,0.001910397,0.001980931,0.002030397,0.002079864,0.00212933,0.002178797,0.002228264,0.002239314,0.002250364,0.002261414,0.002272465,0.002283515,0.002246894,0.002210273,0.002173652,0.002137031,0.00210041,0.002120538,0.002140667,0.002160796,0.002180925,0.002201054,0.002214887,0.00222872,0.002242553,0.002256386,0.002270219,0.002258502,0.002246785,0.002235067,0.00222335,0.002211633,0.002190001,0.00216837,0.002146738,0.002125106,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474,0.002103474
Middle East ,hard_coal,0.000176367,0.000176367,0.000176367,0.000176367,0.000184874,0.000181956,0.000173077,0.000177112,0.000180636,0.00017819,0.000179395,0.000181003,0.000184076,0.000200494,0.000207232,0.000209401,0.000210278,0.000207377,0.00033387,0.000253287,0.00025899,0.000256927,0.000215853,0.000203259,0.000190666,0.000178073,0.00016548,0.000152887,0.000151212,0.000149537,0.000147862,0.000146187,0.000144512,0.000141121,0.00013773,0.000134339,0.000130948,0.000127556,0.000132468,0.000137379,0.00014229,0.000147202,0.000152113,0.000148043,0.000143973,0.000139904,0.000135834,0.000131764,0.000134112,0.000136461,0.000138809,0.000141157,0.000143505,0.000134444,0.000125383,0.000116321,0.00010726,9.82E-05,9.36E-05,8.90E-05,8.44E-05,7.97E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05,7.51E-05
Middle East ,heavy_oil,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,8.98E-05,9.01E-05,8.96E-05,0.000112768,0.000111461,0.000109699,0.000106982,0.000114796,0.000116077,0.000116345,0.000116909,0.000117472,0.000118035,0.000118598,0.000119161,0.000117067,0.000114973,0.000112878,0.000110784,0.00010869,0.000108547,0.000108403,0.00010826,0.000108116,0.000107973,0.000104574,0.000101175,9.78E-05,9.44E-05,9.10E-05,9.10E-05,9.11E-05,9.11E-05,9.12E-05,9.12E-05,9.12E-05,9.12E-05,9.11E-05,9.11E-05,9.10E-05,9.10E-05,9.10E-05,9.09E-05,9.09E-05,9.08E-05,9.09E-05,9.09E-05,9.09E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05,9.10E-05
Middle East ,light_oil,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000436075,0.000434132,0.000434084,0.000438017,0.000438549,0.000437195,0.000437438,0.000434528,0.000432095,0.00042602,0.000425943,0.000425866,0.000425789,0.000425712,0.000425635,0.000403267,0.000380899,0.000358531,0.000336163,0.000313794,0.000312045,0.000310295,0.000308545,0.000306795,0.000305045,0.000300094,0.000295143,0.000290192,0.000285241,0.00028029,0.000280926,0.000281562,0.000282198,0.000282834,0.00028347,0.000278615,0.000273759,0.000268904,0.000264048,0.000259193,0.0002439,0.000228607,0.000213313,0.00019802,0.000182727,0.000170938,0.000159149,0.00014736,0.000135571,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782,0.000123782
Northern Afr,biomass,0.000829094,0.000820757,0.000819753,0.000816878,0.000810285,0.000805784,0.000797408,0.000794324,0.000787356,0.000779844,0.000772066,0.00076266,0.000753661,0.000743001,0.000736223,0.000731123,0.000729282,0.000730595,0.000731277,0.000752452,0.000744047,0.000728162,0.000771919,0.000768482,0.000765045,0.000761607,0.00075817,0.000754733,0.000741166,0.000727599,0.000714032,0.000700464,0.000686897,0.000689304,0.000691711,0.000694118,0.000696525,0.000698931,0.000728055,0.000757179,0.000786303,0.000815427,0.000844551,0.000844865,0.00084518,0.000845495,0.000845809,0.000846124,0.00085233,0.000858536,0.000864743,0.000870949,0.000877155,0.000875695,0.000874236,0.000872776,0.000871316,0.000869856,0.000870998,0.000872139,0.000873281,0.000874422,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564,0.000875564
Northern Afr,brown_coal,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.52E-05,9.77E-05,0.000100251,0.000102757,0.000105263,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05
Northern Afr,diesel_oil,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002679245,0.002642276,0.002794613,0.002661746,0.002422907,0.00253465,0.002727799,0.002738401,0.002749003,0.002759605,0.002770207,0.002780809,0.002688355,0.002595901,0.002503447,0.002410993,0.002318539,0.00233228,0.002346021,0.002359762,0.002373502,0.002387243,0.00233165,0.002276057,0.002220464,0.002164871,0.002109278,0.002139355,0.002169431,0.002199507,0.002229583,0.002259659,0.002273029,0.002286398,0.002299768,0.002313137,0.002326506,0.002336302,0.002346097,0.002355893,0.002365688,0.002375484,0.002359445,0.002343407,0.002327368,0.00231133,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291,0.002295291
Northern Afr,hard_coal,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.00099132,0.000992481,0.000989137,0.00099051,0.000989952,0.000958435,0.000832637,0.00076634,0.00036208,0.000186775,0.00016282,0.000126947,0.000126641,0.000126335,0.000126028,0.000125722,0.000125416,0.000116421,0.000107426,9.84E-05,8.94E-05,8.04E-05,7.62E-05,7.20E-05,6.79E-05,6.37E-05,5.95E-05,6.53E-05,7.12E-05,7.70E-05,8.29E-05,8.87E-05,9.38E-05,9.90E-05,0.000104132,0.000109274,0.000114415,0.000109542,0.000104669,9.98E-05,9.49E-05,9.01E-05,8.46E-05,7.91E-05,7.37E-05,6.82E-05,6.28E-05,6.49E-05,6.70E-05,6.91E-05,7.12E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05
Northern Afr,heavy_oil,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112918,0.000112546,0.000126928,0.000178196,0.00018303,0.000165355,0.000125789,0.000154091,0.000145283,0.000159631,0.000162295,0.000108501,0.000106253,0.000104004,0.000101755,9.95E-05,9.73E-05,9.62E-05,9.51E-05,9.40E-05,9.29E-05,9.18E-05,9.20E-05,9.22E-05,9.24E-05,9.26E-05,9.28E-05,9.23E-05,9.19E-05,9.15E-05,9.11E-05,9.07E-05,9.06E-05,9.05E-05,9.04E-05,9.03E-05,9.02E-05,9.02E-05,9.01E-05,9.01E-05,9.00E-05,9.00E-05,9.00E-05,9.00E-05,9.01E-05,9.01E-05,9.02E-05,9.07E-05,9.12E-05,9.18E-05,9.23E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05,9.29E-05
Northern Afr,light_oil,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.00038835,0.000433996,0.000435374,0.000436214,0.000434227,0.000437076,0.000437424,0.000426263,0.000424089,0.000419551,0.000418524,0.000417498,0.000416471,0.000415445,0.000414418,0.000394454,0.000374489,0.000354525,0.000334561,0.000314596,0.000313551,0.000312507,0.000311462,0.000310417,0.000309373,0.000296474,0.000283576,0.000270678,0.00025778,0.000244881,0.000245825,0.000246769,0.000247713,0.000248657,0.0002496,0.000250278,0.000250956,0.000251634,0.000252312,0.00025299,0.000252754,0.000252519,0.000252283,0.000252048,0.000251813,0.000215362,0.000178911,0.00014246,0.000106009,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05,6.96E-05
Oceania     ,biomass,0.000133009,0.000125126,0.000111989,0.000111012,0.000108651,0.00010351,0.000101633,9.98E-05,9.84E-05,0.000102752,9.85E-05,9.80E-05,9.81E-05,0.000107985,0.000126406,0.000147002,0.000201185,0.000221478,0.000226044,0.000220896,0.000217285,0.000207978,0.000189738,0.000185432,0.000181126,0.00017682,0.000172514,0.000168209,0.000157425,0.000146641,0.000135858,0.000125074,0.00011429,0.000112734,0.000111178,0.000109622,0.000108065,0.000106509,0.00011253,0.000118552,0.000124573,0.000130594,0.000136615,0.000136971,0.000137326,0.000137682,0.000138038,0.000138393,0.000137679,0.000136965,0.000136251,0.000135537,0.000134823,0.000134808,0.000134793,0.000134778,0.000134763,0.000134748,0.000132485,0.000130221,0.000127958,0.000125695,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431,0.000123431
Oceania     ,brown_coal,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.78E-05,8.60E-05,8.09E-05,7.41E-05,6.91E-05,6.59E-05,6.40E-05,6.34E-05,6.30E-05,6.30E-05,6.29E-05,6.29E-05,6.29E-05,6.28E-05,5.38E-05,4.47E-05,3.57E-05,2.66E-05,1.75E-05,1.53E-05,1.30E-05,1.07E-05,8.40E-06,6.11E-06,5.77E-06,5.43E-06,5.10E-06,4.76E-06,4.42E-06,4.29E-06,4.15E-06,4.02E-06,3.88E-06,3.75E-06,3.38E-06,3.02E-06,2.66E-06,2.30E-06,1.94E-06,1.91E-06,1.88E-06,1.85E-06,1.82E-06,1.79E-06,1.72E-06,1.65E-06,1.58E-06,1.51E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06,1.44E-06
