iso,fuel,sector,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
mdg,biomass,1A4b_Residential,0.004776256,0.004775641,0.004776,0.004775281,0.004775832,0.004776683,0.004775385,0.004776657,0.004776034,0.004775839,0.004776515,0.004744405,0.004742794,0.004665657,0.004576147,0.004496241,0.004436206,0.004379605,0.004328663,0.004286656,0.004292705,0.004265966,0.004243819,0.004239811,0.004235803,0.004231795,0.004227787,0.004223779,0.004220926,0.004218073,0.004215221,0.004212368,0.004209515,0.004207526,0.004205536,0.004203547,0.004201558,0.004199569,0.004202231,0.004204893,0.004207556,0.004210218,0.004212881,0.004215761,0.004218641,0.004221521,0.004224401,0.004227281,0.004228272,0.004229262,0.004230252,0.004231243,0.004232233,0.004230577,0.004228921,0.004227265,0.004225609,0.004223953,0.004219062,0.00421417,0.004209279,0.004204388,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497,0.004199497
mdv,biomass,1A4b_Residential,0.004794521,0.004794521,0.004794521,0.004794521,0.004827586,0.004757282,0.004796748,0.004794521,0.004782609,0.004791667,0.004803922,0.004818182,0.004791667,0.004807692,0.004821429,0.0048,0.004806452,0.004804805,0.004814815,0.004792244,0.004789644,0.00480826,0.004811828,0.004810053,0.004808279,0.004806505,0.00480473,0.004802956,0.004801455,0.004799955,0.004798455,0.004796955,0.004795455,0.004798389,0.004801323,0.004804258,0.004807192,0.004810127,0.004807794,0.004805462,0.004803129,0.004800797,0.004798464,0.004800841,0.004803217,0.004805593,0.004807969,0.004810345,0.004808394,0.004806443,0.004804492,0.004802542,0.004800591,0.004801083,0.004801574,0.004802066,0.004802558,0.00480305,0.004802081,0.004801112,0.004800144,0.004799175,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206,0.004798206
mex,biomass,1A4b_Residential,0.004914112,0.004914078,0.004914089,0.004914086,0.004913956,0.004914058,0.004914021,0.004914052,0.004913992,0.004913974,0.004913994,0.004913983,0.004913981,0.004914041,0.004913989,0.00491404,0.004914013,0.004913986,0.004914012,0.004914017,0.004914025,0.004913985,0.004914013,0.004914016,0.004914018,0.00491402,0.004914023,0.004914025,0.004914017,0.004914008,0.004913999,0.004913991,0.004913982,0.004913988,0.004913994,0.004914,0.004914005,0.004914011,0.004914008,0.004914004,0.004914,0.004913997,0.004913993,0.004914,0.004914007,0.004914013,0.00491402,0.004914026,0.004914022,0.004914018,0.004914014,0.00491401,0.004914006,0.004914003,0.004913999,0.004913995,0.004913992,0.004913988,0.004913995,0.004914001,0.004914007,0.004914014,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402,0.00491402
mkd,biomass,1A4b_Residential,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005379501,0.005378845,0.005378189,0.005377533,0.005376877,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221,0.005376221
mli,biomass,1A4b_Residential,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004529309,0.004526801,0.004524293,0.004521784,0.004519276,0.004516768,0.004514063,0.004511358,0.004508653,0.004505948,0.004503243,0.004501108,0.004498974,0.004496839,0.004494704,0.00449257,0.004490983,0.004489397,0.004487811,0.004486225,0.004484639,0.004489319,0.004493998,0.004498678,0.004503358,0.004508037,0.004551917,0.004595796,0.004639675,0.004683554,0.004727434,0.004725962,0.00472449,0.004723018,0.004721546,0.004720074,0.004718536,0.004716997,0.004715458,0.004713919,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238,0.00471238
mlt,biomass,1A4b_Residential,0.002379836,0.002377232,0.002377919,0.002388211,0.002385686,0.00238523,0.002384236,0.00237963,0.00237928,0.002384937,0.002387352,0.002383382,0.002381588,0.002383242,0.002387449,0.002388775,0.002387566,0.002384807,0.002383205,0.002382835,0.002385212,0.002383292,0.002381952,0.002380971,0.002379991,0.00237901,0.00237803,0.002377049,0.002375866,0.002374683,0.0023735,0.002372317,0.002371134,0.002377427,0.002383719,0.002390012,0.002396305,0.002402597,0.002405299,0.002408001,0.002410703,0.002413405,0.002416107,0.002404223,0.00239234,0.002380456,0.002368572,0.002356688,0.002364392,0.002372097,0.002379801,0.002387505,0.00239521,0.00239344,0.002391671,0.002389902,0.002388133,0.002386364,0.002381618,0.002376873,0.002372128,0.002367383,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637,0.002362637
mmr,biomass,1A4b_Residential,0.00469605,0.004696273,0.004696593,0.004697038,0.004696615,0.004697335,0.004696862,0.004696661,0.004696223,0.004696498,0.00469641,0.004696205,0.004696628,0.004696558,0.004697065,0.004697141,0.004698277,0.004698735,0.004699105,0.004699445,0.004699195,0.004699753,0.004700234,0.004700342,0.00470045,0.004700558,0.004700666,0.004700774,0.004700903,0.004701032,0.004701161,0.004701291,0.00470142,0.004701506,0.004701591,0.004701677,0.004701762,0.004701848,0.004701044,0.004700241,0.004699438,0.004698634,0.004697831,0.004697779,0.004697727,0.004697674,0.004697622,0.00469757,0.004704305,0.004711039,0.004717774,0.004724509,0.004731243,0.004731653,0.004732062,0.004732472,0.004732881,0.00473329,0.004733556,0.004733821,0.004734086,0.004734351,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616,0.004734616
mng,biomass,1A4b_Residential,0.003037912,0.003040184,0.003039791,0.003038915,0.003041254,0.003041,0.003040276,0.003040174,0.003040209,0.00303932,0.003038127,0.003037674,0.003037493,0.003038139,0.00303729,0.003036664,0.00303542,0.003035187,0.003034031,0.003030726,0.003030676,0.003025516,0.003022103,0.003022142,0.003022181,0.00302222,0.003022258,0.003022297,0.003022621,0.003022945,0.003023269,0.003023593,0.003023916,0.003024009,0.003024101,0.003024193,0.003024285,0.003024377,0.003024793,0.003025208,0.003025623,0.003026039,0.003026454,0.003026604,0.003026754,0.003026905,0.003027055,0.003027205,0.003027044,0.003026884,0.003026723,0.003026563,0.003026402,0.003026385,0.003026368,0.00302635,0.003026333,0.003026316,0.003025814,0.003025311,0.003024809,0.003024307,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805,0.003023805
moz,biomass,1A4b_Residential,0.004776153,0.004775989,0.004776182,0.004775862,0.004775966,0.004776071,0.004775814,0.004775814,0.004775918,0.004776044,0.004776022,0.004776269,0.004776215,0.004775974,0.004762677,0.004740024,0.004701722,0.004678619,0.004654397,0.00463065,0.004608233,0.004583007,0.004556369,0.004550745,0.00454512,0.004539496,0.004533872,0.004528248,0.004522296,0.004516344,0.004510392,0.00450444,0.004498488,0.004489344,0.004480201,0.004471058,0.004461914,0.004452771,0.004441962,0.004431152,0.004420343,0.004409534,0.004398724,0.004399886,0.004401048,0.00440221,0.004403372,0.004404534,0.004408413,0.004412293,0.004416173,0.004420052,0.004423932,0.004423481,0.00442303,0.004422578,0.004422127,0.004421676,0.004427717,0.004433757,0.004439798,0.004445838,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879,0.004451879
mrt,biomass,1A4b_Residential,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004562963,0.004553388,0.004543812,0.004534237,0.004524662,0.004515086,0.004504318,0.004493551,0.004482783,0.004472015,0.004461248,0.004446925,0.004432601,0.004418278,0.004403955,0.004389632,0.004378172,0.004366712,0.004355251,0.004343791,0.004332331,0.004294284,0.004256237,0.00421819,0.004180143,0.004142096,0.003909923,0.00367775,0.003445577,0.003213404,0.00298123,0.002933948,0.002886666,0.002839384,0.002792102,0.00274482,0.002709941,0.002675061,0.002640182,0.002605302,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423,0.002570423
