fuel,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
biomass,0.000459119,0.000450502,0.000439636,0.000433755,0.000423158,0.00041932,0.000430399,0.00042971,0.000434236,0.000448542,0.000450864,0.000460991,0.000465599,0.000488949,0.000517696,0.000522489,0.000507258,0.00049541,0.000463289,0.000516786,0.000533783,0.000532938,0.000547322,0.000548419,0.000549515,0.000550612,0.000551708,0.000552805,0.000545562,0.00053832,0.000531077,0.000523835,0.000516592,0.000518824,0.000521056,0.000523288,0.000525519,0.000527751,0.000527333,0.000526914,0.000526495,0.000526077,0.000525658,0.000526604,0.000527549,0.000528495,0.000529441,0.000530386,0.000531617,0.000532848,0.000534079,0.00053531,0.000536541,0.00053283,0.000529118,0.000525406,0.000521694,0.000517982,0.0005175,0.000517018,0.000516536,0.000516054,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572,0.000515572
brown_coal,8.79E-05,8.79E-05,8.81E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.79E-05,8.80E-05,8.80E-05,8.81E-05,8.80E-05,8.85E-05,8.66E-05,8.21E-05,7.69E-05,7.29E-05,7.88E-05,7.33E-05,6.98E-05,6.75E-05,6.71E-05,6.67E-05,6.64E-05,6.60E-05,6.56E-05,6.42E-05,6.28E-05,6.14E-05,5.99E-05,5.85E-05,5.73E-05,5.62E-05,5.50E-05,5.39E-05,5.27E-05,4.64E-05,4.02E-05,3.40E-05,2.77E-05,2.15E-05,2.09E-05,2.04E-05,1.98E-05,1.93E-05,1.87E-05,2.10E-05,2.33E-05,2.56E-05,2.79E-05,3.02E-05,2.82E-05,2.63E-05,2.44E-05,2.24E-05,2.05E-05,1.94E-05,1.83E-05,1.71E-05,1.60E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05,1.49E-05
coal_coke,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.15E-06,4.16E-06,4.16E-06,4.17E-06,4.18E-06,4.19E-06,4.22E-06,4.25E-06,4.27E-06,4.30E-06,4.33E-06,4.30E-06,4.28E-06,4.26E-06,4.23E-06,4.21E-06,4.20E-06,4.20E-06,4.19E-06,4.19E-06,4.18E-06,4.20E-06,4.21E-06,4.23E-06,4.24E-06,4.25E-06,4.26E-06,4.26E-06,4.27E-06,4.28E-06,4.28E-06,4.26E-06,4.23E-06,4.21E-06,4.19E-06,4.16E-06,4.19E-06,4.22E-06,4.24E-06,4.27E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06,4.29E-06
diesel_oil,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002464274,0.002392736,0.002336116,0.002331485,0.002344499,0.002321512,0.001726449,0.001278229,0.001677375,0.001687341,0.001697308,0.001707275,0.001717242,0.001727208,0.00171524,0.001703271,0.001691303,0.001679334,0.001667365,0.001675696,0.001684027,0.001692359,0.00170069,0.001709021,0.001737898,0.001766774,0.001795651,0.001824528,0.001853405,0.001876131,0.001898858,0.001921585,0.001944312,0.001967039,0.001972002,0.001976965,0.001981928,0.001986891,0.001991854,0.001973549,0.001955244,0.00193694,0.001918635,0.001900331,0.001873982,0.001847633,0.001821284,0.001794935,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586,0.001768586
hard_coal,0.000515573,0.000501503,0.000463636,0.000435341,0.000410748,0.00037152,0.000359114,0.000356667,0.000351422,0.000356402,0.000337691,0.000329739,0.000323344,0.000335433,0.000336323,0.000352302,0.000301423,0.000291912,0.000272226,0.00029876,0.000197249,0.000192363,0.000255909,0.000241106,0.000226303,0.0002115,0.000196697,0.000181894,0.000180173,0.000178452,0.000176731,0.00017501,0.000173289,0.000173086,0.000172882,0.000172678,0.000172475,0.000172271,0.000180907,0.000189544,0.00019818,0.000206817,0.000215453,0.00021535,0.000215247,0.000215144,0.000215041,0.000214938,0.000210726,0.000206513,0.000202301,0.000198089,0.000193876,0.00019465,0.000195423,0.000196196,0.000196969,0.000197742,0.00019351,0.000189278,0.000185046,0.000180814,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582,0.000176582
heavy_oil,9.13E-05,9.13E-05,9.13E-05,9.13E-05,9.13E-05,9.13E-05,9.13E-05,9.51E-05,9.10E-05,9.06E-05,9.08E-05,0.000112859,0.000120649,0.000124206,0.000130445,0.000140783,0.000144754,0.000139713,0.00013647,0.000133791,0.000111881,0.000108313,0.000105199,0.000104602,0.000104006,0.00010341,0.000102813,0.000102217,0.000101277,0.000100337,9.94E-05,9.85E-05,9.75E-05,9.71E-05,9.67E-05,9.63E-05,9.59E-05,9.55E-05,9.52E-05,9.49E-05,9.46E-05,9.43E-05,9.40E-05,9.40E-05,9.39E-05,9.39E-05,9.39E-05,9.38E-05,9.39E-05,9.39E-05,9.39E-05,9.40E-05,9.40E-05,9.40E-05,9.39E-05,9.39E-05,9.38E-05,9.38E-05,9.38E-05,9.39E-05,9.39E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05,9.40E-05
light_oil,0.000471698,0.000471698,0.000432961,0.000435144,0.000434011,0.000434443,0.00043516,0.000435007,0.000435214,0.000435748,0.000435756,0.000435324,0.000435252,0.000435322,0.000435323,0.000435203,0.000435203,0.000435256,0.000435376,0.000435293,0.000432088,0.000432459,0.00031172,0.00031496,0.0003182,0.000321439,0.000324679,0.000327918,0.000320632,0.000313346,0.000306059,0.000298773,0.000291487,0.000278071,0.000264655,0.000251239,0.000237823,0.000224407,0.000213984,0.000203561,0.000193138,0.000182715,0.000172292,0.000163918,0.000155544,0.000147171,0.000138797,0.000130423,0.000133475,0.000136527,0.000139579,0.000142631,0.000145682,0.000139857,0.000134032,0.000128206,0.000122381,0.000116555,0.000107879,9.92E-05,9.05E-05,8.19E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05,7.32E-05
