"iso","sector","fuel","Unit","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"usa","Electric Power","coal","kt","92552.877866","101269.149771","116588.0730138","118024.6289543","127753.4879692","130495.4228433","158465.7606485","174470.9372908","177215.9244336","171654.752591","185652.9165083","194760.2712257","200822.6665944","213092.0823987","232951.8081362","248486.4812511","269829.9435737","293737.4019929","302233.6107259","328241.8677587","342419.4828091","352936.2967284","360783.4723237","387753.6216894","429027.9499869","431893.04484","447492.3887936","494239.3246402","525935.9490149","530465.1498021","580968.5906704","627510.4380905","657849.1490159","654397.6393812","689170.4292176","732367.1113955","764820.6763618","755136.9884986","791334.7259542","835953.0168846","851184.750402","862623.2127835","864064.3587012","876431.7458272","916722.4852209","924117.8302508","937209.0525925","988675.5685616","1015619.0940754","1032435.4532877","1037178.0527411","1086670.3196481","1063094.4242505","1077505.6486376","1107939.5420657","1120232.2296276","1143619.2315903","1131660.8969713","1152059.4611201","1147031.4321047","1029136.9880873","1074800.359727","1027877.2068955","907800.8085293","945731.2623779","938720.7291757","813986.9126909","747970.6099178","732752.9648967"
"usa","Electric Power","gas","kt","10118.5096449938","11567.8604660063","14050.5621141375","16740.0038220187","19023.6169998","21437.2888041375","21212.560152","22794.9493050562","24575.9670973687","25251.2198619188","29953.5629860688","31723.9678767375","33569.8218532687","36160.6389881625","39291.3747410888","42601.75003728","42568.82986293","47912.6640197363","50367.90343536","57676.4884285537","63901.1303871675","72040.163102775","72849.2329888575","72582.9324603337","66606.93161472","62540.28828159","57574.7340718725","56010.145580235","58356.249777","58587.6766265175","64202.0403539813","67716.4742237812","66954.2398095375","59385.06028077","53279.8070902125","57227.6717956125","56152.8520942725","47819.778369825","52159.69625643","48149.605376985","56728.106923635","59217.7806596513","60401.3354601563","62804.8019464688","63262.2121516875","71086.9486175625","76869.4182937275","69006.457184175","73681.362920025","83496.49104384","87533.3702699925","94465.865978085","97407.7901790525","102812.633552475","93540.6693079688","99719.5414655213","107222.500287525","113670.5804745","124863.04196184","121705.076921951","125186.839628156","134167.64252052","137423.550108364","165472.204063477","149198.971879125","148962.446813407","176821.057668938","183484.054290075","169809.948170783"
"usa","Industry","coal","kt","133627.4198","132962.7329","141860.4985","129089.2507","128936.031","108298.7704","121358.8208","125995.0946","117388.3362","110831.8558","102198.6422","105839.5391","105707.2631","106988.1357","112368.462","113669.176","116358.788","119785.8387","112263.7435","110616.9073","102670.4266","99378.9588","83373.5628","80333.4194","74998.2874","71542.5769","70156.9858","68107.8101","67750.6649","69538.5955","74644.4491","66520.4981","74289.5085","70654.1231","72729.754","81288.6384087","83082.9932131","83315.559774","82865.5524128","84052.943359","83922.9248694","84138.7221404","83118.8609528","81616.6299783","82553.4493954","82869.4710893","80528.7083795","79022.520148","78830.6163318","74338.0846564","71360.8649496","71878.7100574","71945.3363763","66961.3155861","67528.386105","68557.1836387","66512.5306756","65555.9878046","62406.8489806","59957.2484757","49950.1689408","54330.768665","50967.6271144","47219.8666386","47459.4581574","47339.4915415","42393.1165009","38413.8179101","37051.5250229"
"usa","Industry","gas","kt","56663.4958300688","63012.8619658125","72004.6566784125","74296.9514672438","76488.8743249313","76758.4273120875","83541.37738275","86616.4886255812","90762.8959573875","92545.7714673187","100346.4748944","106153.129980056","109644.278003269","114641.630363925","119921.625463579","126423.24468669","130426.99812513","138529.086118028","142941.08430126","153303.297832807","164095.983766654","169469.304941107","175786.034069599","175655.962718828","184793.745833287","177776.97466368","151770.01901376","155856.867618375","153763.912212172","152197.22322987","152376.116096295","149478.418991947","147014.935955501","126796.16100396","121310.225230924","132482.436361117","125946.44318655","119007.457986638","130136.632054196","136770.448887056","144491.218937678","150952.469540197","153028.907813512","159206.418942113","161917.649464252","162835.129804305","171102.18585852","176589.68057892","177119.358016545","173933.847041561","167149.703027239","169280.338210594","154605.051669495","157233.48700416","151132.290385755","152326.69787538","140901.82852998","140095.058065935","143838.592084346","143998.854762945","135571.095036563","147472.778162036","151049.85957999","156909.98542464","162590.365791604","167960.41680726","167670.460079299","171611.050585564","175251.71259561"
"usa","Process","coal","kt","100760.1407","114654.6322","125314.9755","107828.0883","124724.1427","94378.926","118765.1089","117163.467","119499.2407","84695.2205","87687.965","89710.6855","81791.7623","82321.9686","86071.9932","98379.1727","105033.7578","106269.4361","102293.44","100636.6831","103003.3212","106351.0063","91744.429","96722.4158","103727.5323","99417.5393","92150.0754","93369.2192","85691.6997","78697.6062","85282.7464","73476.0111","67255.7322","45092.8884","40821.4759","48525.6424002","45256.3473647","39599.5609178","40737.9149462","46173.0112263","44652.4699465","42854.0123815","37316.9213847","35677.3636716","34527.177555","34987.4329993","36388.5014936","34949.259248","33292.7680023","31072.2706317","30983.3117148","31899.7650371","28742.6146967","26075.865501","26728.1856973","26091.5424116","25831.4922048","25305.7039232","25039.2438419","24327.4049571","16894.1066359","23249.8802519","23626.5835608","22874.2373556","23670.757131","23475.2807605","21724.5660131","18171.0936284","19331.7659249"
"usa","Transportation","coal","kt","77358.3117","69457.0253","61976.8175","43872.6423","32599.4202","20518.2122","18708.2356","15187.4894","10763.9595","5158.764","3934.1087","3357.6058","848.771","757.2801","738.541","783.7353","722.0065","671.3007","514.7741","459.6591","345.0199","328.4854","228.1761","179.6749","127.8668","88.184","26.4552","13.2276","9.9207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"usa","Transportation","gas","kt",NA,"2309.1981798375","3540.6258489","3811.20885770625","4236.2215410375","4241.75790740625","4510.8694567125","5443.885139175","5503.90229353125","5742.75695686875","6425.642917575","6383.83507453125","6945.41759270625","7035.3421614","7764.61940155125","7988.3233101","9179.57512332","9827.85043729125","10559.25137736","10827.7545456937","11560.5859292175","13231.6400958525","13605.88851048","13983.169660005","13212.3684369862","12170.51630592","10577.5408192387","9939.272816025","9664.98403954125","9605.88610309125","10904.158996185","11571.254899155","11723.1209464688","10895.740115295","8978.6273181675","9687.9147276975","9239.03317638","8878.3784173875","9512.3151582375","11226.37315527","11530.281078645","12070.7393739975","11013.2374359","10796.330444025","11446.48942164","12579.37860165","12853.0195983","13082.6315766825","13853.626772895","11814.4577608575","11989.8786403988","11930.4807785625","11682.944646345","12408.48841344","11139.665733735","10697.4968100525","11087.526450105","11106.58085544","11790.558663975","12300.0921409275","12704.167252875","12776.677933635","13036.076908365","13844.1278976","15752.6112600675","13487.77139976","13223.9994357713","13625.3415427238","13467.8491354313"
