"iso","agg_fuel","sector","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"gbr","coal","1A1_Energy-transformation","38303.2","35661.6","36779.2","38811.2","39116","37287.2","35153.6","36677.6","20929.6","30073.6","37287.2","36068","32308.8","14935.2","32512","31394.4","34239.2","31191.2","25704.8","25095.2","25095.2","29057.6","29464","32410.4","34645.6","31496","33020","35153.6","33731.2","34137.6","33707.832","32521.144","32026.352","32646.112","33025.08","35441.128","35391.344","35189.16","36217.352","37686.488","37924.232","38337.744","37948.616","39604.696","40751.76","37087.048","33539.176","36679","34444","30989","28043","32818","32717","31091","30185","31323","31753","31406","29612","26428","26876","23505","24386","23939","21703","19026","18798","15295","13879","13266","13048","9755","13630","13387","13146","13104","12655","12513","11624","10429","9856","9793","9647","9585.538","9622","9368","9069","9892.78633597304","9150.77126075047","7694.83511654527","7635.66175603939","7190.13130048774","7339.41900327195","7786.08020964386","7928.43453635418","7904.96531088947","6511.92655782275","7091.09834015138","7100.35114309924","6600.40494126264","7321.79310084904","7020.79686153289","5657.85206716617","3619.6637379965"
"gbr","coal","1A1a_Electricity","4978.4","5689.6","5588","6096","6705.6","7213.6","7823.2","7518.4","6400.8","6908.8","7315.2","7823.2","8229.6","8432.8","9144","9448.8","9956.8","9855.2","9753.6","9956.8","10464.8","11379.2","12395.2","13817.6","15036.8","15138.4","16154.4","18389.6","20726.4","22656.8","22961.6","24485.6","23876","26619.2","27533.6","29260.8","30480","33426.4","35966.4","36068","37287.2","40233.6","43586.4","46329.6","47142.4","46837.6","46736","52733","56289","62081","68584","69092","71124","69701","68279","74366","77101","77237","72847","66664","76838","67026","74569","77819","79956","80643","88790","89569","87226","80228","81565","53411","73940","82652","87960","84258","82053","84014","83542","78469","66136","62406","59588","55511","47333","48588","41178","46197.4939758529","50931.3696376906","47741.1146491111","52463.4054258381","50443.5897839686","52058.2355846154","57437.778508976","52510.6764874001","47807.6349134559","39680.8069565261","41497.5133438186","41849.6575966698","54901.3275315659","49872.8515700124","38234.0204108848","29329.6944709998","12058.2796122164"
"gbr","coal","1A2_Industry-combustion","5892.8","6096","6096","6096","6096","6096","6400.8","6705.6","4978.4","5892.8","41452.8","43809.92","41696.64","27594.56","43647.36","39420.8","41899.84","39583.36","37144.96","36576","36454.08","38648.64","40030.4","41371.52","42550.08","39664.64","42265.6","44419.52","43728.64","42224.96","39624","37592","35560","38608","36576","38608","38912.8","40741.6","41554.4","39522.4","40030.4","41452.8","41351.2","40132","38100","34239.2","32207.2","36169.6","33832.8","30007.8","30074","28956.2","28143.2","26009.8","23745","22746","21509","19513","16005","11563","11962","10977","9585","8870","8933","8450","9232","7898","7046","7175","7218","7006","8313","9278","6827","7131","6763","6280","6426","6581","5300","4946","4494","3074.91962731561","2993","2414","2040","1875.99680547281","1826.38211346095","1809.56008405688","1856.10767701572","1847.76080424908","1781.42281567536","1755.53533169112","1896.36476258624","1940.44031136533","1742.09724218835","1958.61639204351","1797.56950128455","1826.47022467423","2322.51162777687","2441.7966109271","2043.02240963802","1614.75745563839"
"gbr","coal","1A2g_Ind-Comb-other","111861.6","109321.6","116535.2","123342.4","120396","106273.6","103022.4","107492.8","70307.2","94996","16581.12","17523.968","16678.656","11037.824","17458.944","15768.32","16759.936","15833.344","14857.984","14630.4","14581.632","15459.456","16012.16","16548.608","17020.032","15865.856","16906.24","17767.808","17491.456","16889.984","15263.368","16653.256","15116.048","14902.688","13812.52","14749.272","14697.456","14899.64","14684.248","14535.912","14298.168","14697.456","14476.984","13532.104","12893.04","12290.552","10961.624","6204.00000000001","5795.99999999999","5791","8940","5287.00000000001","5388.99999999998","4877.99999999999","4102","4111.99999999999","4232","4158.99999999999","3327.00000000003","2999","2581.00000000002","2505.00000000001","1948.00000000001","2045","2149.00000000003","2041","2050.99999999999","1752","1780.99999999999","1855","1771.99999999999","1730.99999999999","1703.99999999999","1495.99999999998","1425.00000000001","1265","1062","1211","1143.99999999999","945.000000000007","826.000000000008","721.000000000004","522.999999999996","1511.841249","1691","416","920.000000000004","82.0238552260837","68.1553666240228","22.3666161722146","24.8043073777959","27.5000000000064","55.2091151257099","34.7131927993483","26.3917902735885","29.7189439927874","75.3928030724436","39.2621122818932","39.8628587615321","24.0886593653836","35.6162318744646","242.075384405544","16.146652051504","31.7794194549019"
"gbr","coal","1A3_Transportation","16967.2","16560.8","16459.2","16357.6","15138.4","14528.8","15036.8","16459.2","12903.2","15138.4","14224","14427.2","14325.6","12293.6","14528.8","14020.8","14325.6","13817.6","13208","12598.4","12598.4","13106.4","13208","13716","14020.8","13411.2","13106.4","13716","14020.8","14732","15036.8","15240","14833.6","15036.8","14528.8","14528.8","14630.4","14427.2","14325.6","14122.4","13614.4","13208","12395.2","12293.6","11582.4","10464.8","9652","9042.4","7823.2","6299.2","5080","3860.8","2844.8","1727.2","800","200","200","100","100","100","100","100","100","100","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","18.8","18.8","18.8","18.8","18.8000003395257","15.2914620911189","16.1101505068964","13.711487145653","13","13","15"
"gbr","coal","1A4_Stationary_RCO","18084.8","17780","17678.4","17678.4","19100.8","18796","17983.2","18897.6","16967.2","16865.6","63073.28","66580.512","63951.104","47930.816","66808.096","61955.68","64987.424","62236.096","59249.056","58216.8","57777.888","60699.904","62321.44","64914.272","66515.488","63036.704","65694.56","66946.272","67507.104","67478.656","64211.2","61264.8","58318.4","58928","59436","61976","62280.8","64516","65532","65532","65227.2","66548","66040","66344.8","62992","61976","56794.4","59030","56694","59101","56393","50191","47346","44098","39319","34401","28951","24470","19040","15129","15014","13774","11625","10831","11136","10217","10508","8946","8454","8474","7872","5406","7799","7421","6536","5741","5048","4239","4778","4156","4638","3901","2690","2705","2587","2366","2517","1882.69745674528","1873.73016590806","1285.98621108707","1042.55956190281","940.664698914702","614.092807369475","561.220710824742","648.235630981236","683.48587961325","689.169418216659","718.872544994709","704.536130062314","673.929523330289","639.501325171829","548.514968060145","552.058684411627","549.630087660253"
"gbr","coal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2641.6","2235.2","2032","1016","2235.2","2032","2235.2","2133.6","2133.6","2032","2032","2133.6","2235.2","2336.8","2336.8","2235.2","2438.4","2540","2540","2438.4","2641.6","2540","2540","2540","2540","2438.4","2540","2641.6","2844.8","2641.6","2743.2","2743.2","2844.8","2743.2","2844.8","2743.2","2540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
